img,detectada,tempo_ms,score_ocr,score_det,cer_tensao,correto_tensao,cer_potencia,correto_potencia,cer_frequencia,correto_frequencia,cer_grau_ip,correto_grau_ip,cer_data_fab,correto_data_fab,placa_100pct_correta
test_0167.jpg,True,2509.4,50.3,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0114.jpg,True,7766.4,45.4,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0016.jpg,True,5743.9,54.6,96.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0172.jpg,True,29631.8,42.8,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0084.jpg,True,15579.9,47.2,97.6,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0110.jpg,True,1786.0,51.3,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0160.jpg,True,5129.4,59.9,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0026.jpg,True,1736.9,0.0,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0162.jpg,True,28258.1,41.9,97.5,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0102.jpg,True,1716.0,76.3,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0059.jpg,True,9291.1,47.3,97.2,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0158.jpg,True,21022.9,42.3,97.1,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0048.jpg,True,1604.8,14.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0068.jpg,True,1443.0,0.0,97.3,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0056.jpg,True,6565.3,54.3,97.8,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0137.jpg,True,24120.0,40.2,96.9,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0083.jpg,True,4535.9,89.0,97.4,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
test_0146.jpg,True,21900.1,42.1,97.0,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,False
